location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,304.61826,336.12155,90.76479,427,final,2025-12-01,2025-12-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,25.723654,25.58228,100.46228,427,final,2025-12-11,2025-12-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,55.763466,100.62193,57.529213,427,final,2025-12-11,2025-12-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,305.92975,348.41522,87.97859,427,final,2025-12-11,2025-12-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,83.36768,25.932163,285.6822,427,final,2025-12-21,2025-12-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,121.8993,79.11327,150.86716,427,final,2025-12-21,2025-12-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,373.27402,360.6466,103.453445,427,final,2025-12-21,2025-12-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,5.042155,15.759407,48.373993,427,preliminary,2026-01-01,2026-01-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,114.13349,66.389694,166.87772,427,preliminary,2026-01-01,2026-01-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,315.55502,346.43607,91.2129,427,preliminary,2026-01-01,2026-01-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,6.880562,19.29477,48.90173,427,preliminary,2026-01-11,2026-01-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,95.2904,62.209213,149.2212,427,preliminary,2026-01-11,2026-01-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,302.94846,328.69415,92.284645,427,preliminary,2026-01-11,2026-01-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,10.346604,16.265417,72.166954,427,preliminary,2026-01-21,2026-01-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,22.269321,51.319595,48.418888,427,preliminary,2026-01-21,2026-01-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,214.8033,292.37277,73.91507,427,preliminary,2026-01-21,2026-01-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,6.3934426,12.719282,64.29968,427,preliminary,2026-02-01,2026-02-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,23.620607,48.27947,53.71789,427,preliminary,2026-02-01,2026-02-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,193.99298,245.9968,79.28108,427,preliminary,2026-02-01,2026-02-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,26.112411,18.768618,130.89702,427,forecast,2026-02-11,2026-02-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,42.85246,47.75332,90.709854,427,forecast,2026-02-11,2026-02-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,193.90633,206.9961,93.82546,427,forecast,2026-02-11,2026-02-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,1.2430116,3.9475214,69.77364,2683,final,2025-02-21,2025-02-28
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,3.7495341,10.618735,56.019478,2683,final,2025-02-21,2025-02-28
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,116.04549,116.72285,99.44353,2683,final,2025-02-21,2025-02-28
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,8.455833,16.674295,62.081985,2683,final,2025-03-01,2025-03-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,11.049944,24.478035,54.447132,2683,final,2025-03-01,2025-03-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,82.62579,98.59863,84.58199,2683,final,2025-03-01,2025-03-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,24.494596,18.846241,123.68656,2683,final,2025-03-11,2025-03-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,34.193443,39.46806,88.13841,2683,final,2025-03-11,2025-03-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,72.756615,89.319405,82.43968,2683,final,2025-03-11,2025-03-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,47.17555,27.05182,162.78499,2683,final,2025-03-21,2025-03-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,80.12598,62.572357,125.977516,2683,final,2025-03-21,2025-03-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,99.42453,92.43692,107.17142,2683,final,2025-03-21,2025-03-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,46.30078,37.758926,119.97677,2683,final,2025-04-01,2025-04-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,117.970924,83.65699,138.70415,2683,final,2025-04-01,2025-04-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,142.62318,122.70472,115.59728,2683,final,2025-04-01,2025-04-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,23.26612,31.903492,76.5947,2683,final,2025-04-11,2025-04-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,116.742455,96.71424,119.69067,2683,final,2025-04-11,2025-04-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,163.37234,148.04718,110.01337,2683,final,2025-04-11,2025-04-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,42.3306,30.68001,132.653,2683,final,2025-04-21,2025-04-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,111.89751,100.34243,110.96907,2683,final,2025-04-21,2025-04-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,195.77301,173.53352,112.45675,2683,final,2025-04-21,2025-04-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,40.361164,36.091488,110.39066,2683,final,2025-05-01,2025-05-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,105.957886,98.67499,107.02474,2683,final,2025-05-01,2025-05-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,234.97874,206.81001,113.29906,2683,final,2025-05-01,2025-05-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,19.55833,27.098808,76.508545,2683,final,2025-05-11,2025-05-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,102.25009,93.87031,108.47553,2683,final,2025-05-11,2025-05-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,253.18597,230.0526,109.84179,2683,final,2025-05-11,2025-05-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,14.868431,29.28601,57.94909,2683,final,2025-05-21,2025-05-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,74.787926,92.47631,81.85366,2683,final,2025-05-21,2025-05-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,266.8114,255.3911,104.38582,2683,final,2025-05-21,2025-05-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,20.93291,13.345248,141.36037,2683,final,2025-06-01,2025-06-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,55.359673,69.730064,80.77026,2683,final,2025-06-01,2025-06-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,279.28848,252.06204,110.591385,2683,final,2025-06-01,2025-06-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,15.047335,11.749894,119.68634,2683,final,2025-06-11,2025-06-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,50.84868,54.381153,94.051186,2683,final,2025-06-11,2025-06-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,269.84125,244.9657,109.95158,2683,final,2025-06-11,2025-06-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,18.561686,14.324338,121.92752,2683,final,2025-06-21,2025-06-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,54.54193,39.41948,134.04463,2683,final,2025-06-21,2025-06-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,241.22736,232.23822,103.78908,2683,final,2025-06-21,2025-06-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,4.6749907,8.550131,71.40145,2683,final,2025-07-01,2025-07-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,38.28401,34.624363,109.235855,2683,final,2025-07-01,2025-07-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,199.60156,203.02942,98.35223,2683,final,2025-07-01,2025-07-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,5.446142,8.8286495,75.539856,2683,final,2025-07-11,2025-07-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,28.682817,31.70312,91.770996,2683,final,2025-07-11,2025-07-20
