location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,95-99,95,99,132,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,100+,100,None,99,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,0-4,0,4,130290,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,5-9,5,9,131742,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,10-14,10,14,125289,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,15-19,15,19,97104,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,20-24,20,24,71795,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,25-29,25,29,62690,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,30-34,30,34,55453,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,35-39,35,39,39814,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,40-44,40,44,37815,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,45-49,45,49,28533,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,50-54,50,54,19501,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,55-59,55,59,16764,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,60-64,60,64,16965,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,65-69,65,69,12853,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,70-74,70,74,9437,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,75-79,75,79,4616,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,80-84,80,84,3260,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,85-89,85,89,1604,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,90-94,90,94,700,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,95-99,95,99,306,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,100+,100,None,259,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,all,None,None,749673,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,all,None,None,704089,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,all,None,None,1453762,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,0-4,0,4,99912,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,5-9,5,9,102458,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,10-14,10,14,103193,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,15-19,15,19,85085,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,20-24,20,24,71704,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,25-29,25,29,60525,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,30-34,30,34,54385,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,35-39,35,39,32187,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,40-44,40,44,33860,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,45-49,45,49,22598,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,50-54,50,54,18232,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,55-59,55,59,15716,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,60-64,60,64,17882,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,65-69,65,69,11435,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,70-74,70,74,8860,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,75-79,75,79,5000,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,80-84,80,84,3337,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,85-89,85,89,1878,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,90-94,90,94,752,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,95-99,95,99,418,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,f,100+,100,None,245,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,0-4,0,4,100919,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,5-9,5,9,103727,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,10-14,10,14,103579,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,15-19,15,19,87265,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,20-24,20,24,63687,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,25-29,25,29,51335,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,30-34,30,34,41577,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,35-39,35,39,31026,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,40-44,40,44,29246,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,45-49,45,49,23908,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,50-54,50,54,17809,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,55-59,55,59,14330,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,60-64,60,64,11712,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,65-69,65,69,9900,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,70-74,70,74,6441,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,75-79,75,79,3726,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,80-84,80,84,1999,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,85-89,85,89,1124,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,90-94,90,94,406,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,95-99,95,99,249,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,m,100+,100,None,118,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,0-4,0,4,200831,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,5-9,5,9,206185,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,10-14,10,14,206772,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,15-19,15,19,172350,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,20-24,20,24,135391,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,25-29,25,29,111860,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,30-34,30,34,95962,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,35-39,35,39,63213,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,40-44,40,44,63106,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,45-49,45,49,46506,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,50-54,50,54,36041,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,55-59,55,59,30046,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,60-64,60,64,29594,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,65-69,65,69,21335,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,70-74,70,74,15301,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,75-79,75,79,8726,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,80-84,80,84,5336,2019-01-01,2019-12-31
KEN,False,True,Kilifi,,KE003,Kilifi,,,1,all,85-89,85,89,3002,2019-01-01,2019-12-31
