pcode,county,year_month,ipc_phase,population_in_phase,population_fraction_in_phase
KE011,Isiolo,2024-02,all,316000,1.0
KE011,Isiolo,2024-07,1,126400,0.4
KE011,Isiolo,2024-07,2,173800,0.55
KE011,Isiolo,2024-07,3,15800,0.05
KE011,Isiolo,2024-07,3+,15800,0.05
KE011,Isiolo,2024-07,4,0,0.0
KE011,Isiolo,2024-07,5,0,0.0
KE011,Isiolo,2024-07,all,316000,1.0
KE011,Isiolo,2025-02,1,110600,0.35
KE011,Isiolo,2025-02,2,158000,0.5
KE011,Isiolo,2025-02,3,47400,0.15
KE011,Isiolo,2025-02,3+,47400,0.15
KE011,Isiolo,2025-02,4,0,0.0
KE011,Isiolo,2025-02,5,0,0.0
KE011,Isiolo,2025-02,all,316000,1.0
KE011,Isiolo,2025-07,1,158000,0.5
KE011,Isiolo,2025-07,2,126400,0.4
KE011,Isiolo,2025-07,3,31600,0.1
KE011,Isiolo,2025-07,3+,31600,0.1
KE011,Isiolo,2025-07,4,0,0.0
KE011,Isiolo,2025-07,5,0,0.0
KE011,Isiolo,2025-07,all,316000,1.0
KE034,Kajiado,2019-07,1,522433,0.6
KE034,Kajiado,2019-07,2,304752,0.35
KE034,Kajiado,2019-07,3,43536,0.05
KE034,Kajiado,2019-07,3+,43536,0.05
KE034,Kajiado,2019-07,4,0,0.0
KE034,Kajiado,2019-07,5,0,0.0
KE034,Kajiado,2019-07,all,870721,1.0
KE034,Kajiado,2020-02,1,614812,0.55
KE034,Kajiado,2020-02,2,447136,0.4
KE034,Kajiado,2020-02,3,55892,0.05
KE034,Kajiado,2020-02,3+,55892,0.05
KE034,Kajiado,2020-02,4,0,0.0
KE034,Kajiado,2020-02,5,0,0.0
KE034,Kajiado,2020-02,all,1117840,1.0
KE034,Kajiado,2020-08,1,670704,0.6
KE034,Kajiado,2020-08,2,447136,0.4
KE034,Kajiado,2020-08,3,0,0.0
KE034,Kajiado,2020-08,3+,0,0.0
KE034,Kajiado,2020-08,4,0,0.0
KE034,Kajiado,2020-08,5,0,0.0
KE034,Kajiado,2020-08,all,1117840,1.0
KE034,Kajiado,2021-02,1,726596,0.65
KE034,Kajiado,2021-02,2,335352,0.3
KE034,Kajiado,2021-02,3,55892,0.05
KE034,Kajiado,2021-02,3+,55892,0.05
KE034,Kajiado,2021-02,4,0,0.0
KE034,Kajiado,2021-02,5,0,0.0
KE034,Kajiado,2021-02,all,1117840,1.0
KE034,Kajiado,2021-07,1,614812,0.55
KE034,Kajiado,2021-07,2,447136,0.4
KE034,Kajiado,2021-07,3,55892,0.05
KE034,Kajiado,2021-07,3+,55892,0.05
KE034,Kajiado,2021-07,4,0,0.0
KE034,Kajiado,2021-07,5,0,0.0
KE034,Kajiado,2021-07,all,1117840,1.0
KE034,Kajiado,2022-02,1,614812,0.55
KE034,Kajiado,2022-02,2,391244,0.35
KE034,Kajiado,2022-02,3,111784,0.1
KE034,Kajiado,2022-02,3+,111784,0.1
KE034,Kajiado,2022-02,4,0,0.0
KE034,Kajiado,2022-02,5,0,0.0
KE034,Kajiado,2022-02,all,1117840,1.0
KE034,Kajiado,2022-07,1,726596,0.65
KE034,Kajiado,2022-07,2,335352,0.3
KE034,Kajiado,2022-07,3,55892,0.05
KE034,Kajiado,2022-07,3+,55892,0.05
KE034,Kajiado,2022-07,4,0,0.0
KE034,Kajiado,2022-07,5,0,0.0
KE034,Kajiado,2022-07,all,1117840,1.0
KE034,Kajiado,2023-02,1,380478,0.3
KE034,Kajiado,2023-02,2,697544,0.55
KE034,Kajiado,2023-02,3,190239,0.15
KE034,Kajiado,2023-02,3+,190239,0.15
KE034,Kajiado,2023-02,4,0,0.0
KE034,Kajiado,2023-02,5,0,0.0
KE034,Kajiado,2023-02,all,1268261,1.0
KE034,Kajiado,2023-07,1,507200,0.4
KE034,Kajiado,2023-07,2,634000,0.5
KE034,Kajiado,2023-07,3,126800,0.1
KE034,Kajiado,2023-07,3+,126800,0.1
KE034,Kajiado,2023-07,4,0,0.0
KE034,Kajiado,2023-07,5,0,0.0
KE034,Kajiado,2023-07,all,1268000,1.0
KE034,Kajiado,2024-02,1,760800,0.6
KE034,Kajiado,2024-02,2,443800,0.35
KE034,Kajiado,2024-02,3,63400,0.05
KE034,Kajiado,2024-02,3+,63400,0.05
KE034,Kajiado,2024-02,4,0,0.0
KE034,Kajiado,2024-02,5,0,0.0
KE034,Kajiado,2024-02,all,1268000,1.0
KE034,Kajiado,2024-07,1,887600,0.7
KE034,Kajiado,2024-07,2,380400,0.3
KE034,Kajiado,2024-07,3,0,0.0
KE034,Kajiado,2024-07,3+,0,0.0
KE034,Kajiado,2024-07,4,0,0.0
KE034,Kajiado,2024-07,5,0,0.0
KE034,Kajiado,2024-07,all,1268000,1.0
KE034,Kajiado,2025-02,1,760800,0.6
KE034,Kajiado,2025-02,2,443800,0.35
KE034,Kajiado,2025-02,3,63400,0.05
KE034,Kajiado,2025-02,3+,63400,0.05
KE034,Kajiado,2025-02,4,0,0.0
KE034,Kajiado,2025-02,5,0,0.0
KE034,Kajiado,2025-02,all,1268000,1.0
KE034,Kajiado,2025-07,1,760800,0.6
KE034,Kajiado,2025-07,2,443800,0.35
KE034,Kajiado,2025-07,3,63400,0.05
KE034,Kajiado,2025-07,3+,63400,0.05
KE034,Kajiado,2025-07,4,0,0.0
KE034,Kajiado,2025-07,5,0,0.0
KE034,Kajiado,2025-07,all,1268000,1.0
KE022,Kiambu,2023-02,1,0,0.0
KE022,Kiambu,2023-02,2,0,0.0
KE022,Kiambu,2023-02,3,0,0.0
KE022,Kiambu,2023-02,3+,0,0.0
KE022,Kiambu,2023-02,4,0,0.0
KE022,Kiambu,2023-02,5,0,0.0
KE022,Kiambu,2023-02,all,141599,1.0
KE003,Kilifi,2019-07,1,559990,0.4
KE003,Kilifi,2019-07,2,629989,0.45
KE003,Kilifi,2019-07,3,209996,0.15
KE003,Kilifi,2019-07,3+,209996,0.15
KE003,Kilifi,2019-07,4,0,0.0
KE003,Kilifi,2019-07,5,0,0.0
KE003,Kilifi,2019-07,all,1399975,1.0
KE003,Kilifi,2020-02,1,944962,0.65
KE003,Kilifi,2020-02,2,290757,0.2
KE003,Kilifi,2020-02,3,145379,0.1
KE003,Kilifi,2020-02,3+,218068,0.15
KE003,Kilifi,2020-02,4,72689,0.05
KE003,Kilifi,2020-02,5,0,0.0
KE003,Kilifi,2020-02,all,1453787,1.0
KE003,Kilifi,2020-08,1,1017651,0.7
KE003,Kilifi,2020-08,2,363447,0.25
KE003,Kilifi,2020-08,3,72689,0.05
KE003,Kilifi,2020-08,3+,72689,0.05
KE003,Kilifi,2020-08,4,0,0.0
KE003,Kilifi,2020-08,5,0,0.0
KE003,Kilifi,2020-08,all,1453787,1.0
KE003,Kilifi,2021-02,1,654204,0.45
KE003,Kilifi,2021-02,2,654204,0.45
KE003,Kilifi,2021-02,3,145379,0.1
KE003,Kilifi,2021-02,3+,145379,0.1
KE003,Kilifi,2021-02,4,0,0.0
KE003,Kilifi,2021-02,5,0,0.0
KE003,Kilifi,2021-02,all,1453787,1.0
KE003,Kilifi,2021-07,1,726894,0.5
KE003,Kilifi,2021-07,2,581515,0.4
KE003,Kilifi,2021-07,3,145379,0.1
KE003,Kilifi,2021-07,3+,145379,0.1
KE003,Kilifi,2021-07,4,0,0.0
KE003,Kilifi,2021-07,5,0,0.0
KE003,Kilifi,2021-07,all,1453787,1.0
KE003,Kilifi,2022-02,1,726894,0.5
KE003,Kilifi,2022-02,2,508825,0.35
KE003,Kilifi,2022-02,3,218068,0.15
KE003,Kilifi,2022-02,3+,218068,0.15
KE003,Kilifi,2022-02,4,0,0.0
KE003,Kilifi,2022-02,5,0,0.0
KE003,Kilifi,2022-02,all,1453787,1.0
KE003,Kilifi,2022-07,1,872272,0.6
KE003,Kilifi,2022-07,2,508825,0.35
KE003,Kilifi,2022-07,3,72689,0.05
KE003,Kilifi,2022-07,3+,72689,0.05
KE003,Kilifi,2022-07,4,0,0.0
KE003,Kilifi,2022-07,5,0,0.0
KE003,Kilifi,2022-07,all,1453787,1.0
KE003,Kilifi,2023-02,1,709801,0.45
KE003,Kilifi,2023-02,2,788668,0.5
KE003,Kilifi,2023-02,3,78867,0.05
KE003,Kilifi,2023-02,3+,78867,0.05
KE003,Kilifi,2023-02,4,0,0.0
KE003,Kilifi,2023-02,5,0,0.0
KE003,Kilifi,2023-02,all,1577335,1.0
KE003,Kilifi,2023-07,1,1103900,0.7
KE003,Kilifi,2023-07,2,394250,0.25
KE003,Kilifi,2023-07,3,78850,0.05
KE003,Kilifi,2023-07,3+,78850,0.05
KE003,Kilifi,2023-07,4,0,0.0
KE003,Kilifi,2023-07,5,0,0.0
KE003,Kilifi,2023-07,all,1577000,1.0
KE003,Kilifi,2024-02,1,867350,0.55
KE003,Kilifi,2024-02,2,551950,0.35
KE003,Kilifi,2024-02,3,157700,0.1
KE003,Kilifi,2024-02,3+,157700,0.1
KE003,Kilifi,2024-02,4,0,0.0
KE003,Kilifi,2024-02,5,0,0.0
KE003,Kilifi,2024-02,all,1577000,1.0
KE003,Kilifi,2024-07,1,788500,0.5
KE003,Kilifi,2024-07,2,709650,0.45
KE003,Kilifi,2024-07,3,78850,0.05
KE003,Kilifi,2024-07,3+,78850,0.05
KE003,Kilifi,2024-07,4,0,0.0
KE003,Kilifi,2024-07,5,0,0.0
KE003,Kilifi,2024-07,all,1577000,1.0
KE003,Kilifi,2025-02,1,630800,0.4
KE003,Kilifi,2025-02,2,788500,0.5
KE003,Kilifi,2025-02,3,157700,0.1
KE003,Kilifi,2025-02,3+,157700,0.1
KE003,Kilifi,2025-02,4,0,0.0
KE003,Kilifi,2025-02,5,0,0.0
KE003,Kilifi,2025-02,all,1577000,1.0
KE003,Kilifi,2025-07,1,1182750,0.75
KE003,Kilifi,2025-07,2,315400,0.2
KE003,Kilifi,2025-07,3,78850,0.05
KE003,Kilifi,2025-07,3+,78850,0.05
KE003,Kilifi,2025-07,4,0,0.0
KE003,Kilifi,2025-07,5,0,0.0
KE003,Kilifi,2025-07,all,1577000,1.0
KE015,Kitui,2019-07,1,219537,0.2
KE015,Kitui,2019-07,2,658612,0.6
KE015,Kitui,2019-07,3,219537,0.2
KE015,Kitui,2019-07,3+,219537,0.2
KE015,Kitui,2019-07,4,0,0.0
KE015,Kitui,2019-07,5,0,0.0
KE015,Kitui,2019-07,all,1097687,1.0
KE015,Kitui,2020-02,1,965759,0.85
KE015,Kitui,2020-02,2,113619,0.1
KE015,Kitui,2020-02,3,56809,0.05
KE015,Kitui,2020-02,3+,56809,0.05
KE015,Kitui,2020-02,4,0,0.0
KE015,Kitui,2020-02,5,0,0.0
KE015,Kitui,2020-02,all,1136187,1.0
KE015,Kitui,2020-08,1,852140,0.75
KE015,Kitui,2020-08,2,284047,0.25
KE015,Kitui,2020-08,3,0,0.0
KE015,Kitui,2020-08,3+,0,0.0
KE015,Kitui,2020-08,4,0,0.0
KE015,Kitui,2020-08,5,0,0.0
KE015,Kitui,2020-08,all,1136187,1.0
KE015,Kitui,2021-02,1,852140,0.75
KE015,Kitui,2021-02,2,227237,0.2
KE015,Kitui,2021-02,3,56809,0.05
KE015,Kitui,2021-02,3+,56809,0.05
KE015,Kitui,2021-02,4,0,0.0
