pcode,county,year_month,conflict_events,conflict_fatalities
KE034,Kajiado,2019-03,1,0
KE034,Kajiado,2019-08,1,1
KE034,Kajiado,2020-04,1,1
KE034,Kajiado,2021-05,3,2
KE034,Kajiado,2022-10,1,1
KE034,Kajiado,2023-01,1,0
KE034,Kajiado,2023-06,1,0
KE034,Kajiado,2023-07,2,0
KE034,Kajiado,2023-09,1,0
KE034,Kajiado,2023-10,1,0
KE034,Kajiado,2023-11,1,0
KE034,Kajiado,2024-03,1,1
KE034,Kajiado,2024-06,1,0
KE034,Kajiado,2024-08,1,0
KE034,Kajiado,2024-09,1,0
KE034,Kajiado,2024-10,1,0
KE034,Kajiado,2024-12,1,0
KE034,Kajiado,2025-10,1,1
KE034,Kajiado,2025-12,1,0
KE034,Kajiado,2026-01,1,1
KE034,Kajiado,2026-03,1,0
KE037,Kakamega,2007-01,1,1
KE037,Kakamega,2008-01,3,3
KE037,Kakamega,2008-03,1,2
KE037,Kakamega,2013-02,2,0
KE037,Kakamega,2014-06,1,0
KE037,Kakamega,2014-08,1,1
KE037,Kakamega,2017-05,1,0
KE037,Kakamega,2017-06,1,0
KE037,Kakamega,2018-07,1,0
KE037,Kakamega,2018-09,1,1
KE037,Kakamega,2018-10,1,0
KE037,Kakamega,2018-11,2,2
KE037,Kakamega,2019-09,1,1
KE037,Kakamega,2020-02,1,2
KE037,Kakamega,2020-03,5,2
KE037,Kakamega,2020-04,1,1
KE037,Kakamega,2020-05,1,1
KE037,Kakamega,2021-09,1,1
KE037,Kakamega,2022-01,1,0
KE037,Kakamega,2022-04,1,2
KE037,Kakamega,2022-08,1,0
KE037,Kakamega,2023-03,1,1
KE037,Kakamega,2023-04,1,0
KE037,Kakamega,2023-07,1,0
KE037,Kakamega,2024-01,1,1
KE037,Kakamega,2024-07,1,1
KE037,Kakamega,2024-08,2,2
KE037,Kakamega,2024-09,1,0
KE037,Kakamega,2025-01,1,1
KE037,Kakamega,2025-03,1,1
KE037,Kakamega,2025-05,1,0
KE037,Kakamega,2025-07,1,0
KE037,Kakamega,2025-10,1,0
KE035,Kericho,2007-12,1,2
KE035,Kericho,2008-01,6,19
KE035,Kericho,2008-12,2,19
KE035,Kericho,2010-01,1,5
KE035,Kericho,2018-01,1,0
KE035,Kericho,2019-03,1,3
KE035,Kericho,2020-06,1,0
KE035,Kericho,2022-02,1,0
KE035,Kericho,2023-05,1,0
KE035,Kericho,2023-08,1,0
KE035,Kericho,2023-09,2,8
KE035,Kericho,2026-01,1,0
KE022,Kiambu,2007-01,1,0
KE022,Kiambu,2007-04,2,2
KE022,Kiambu,2007-05,1,1
KE022,Kiambu,2007-06,3,12
KE022,Kiambu,2007-09,1,2
KE022,Kiambu,2007-10,1,0
KE022,Kiambu,2007-12,2,6
KE022,Kiambu,2008-01,5,16
KE022,Kiambu,2008-05,1,3
KE022,Kiambu,2008-08,2,3
KE022,Kiambu,2009-02,1,2
KE022,Kiambu,2009-10,1,0
KE022,Kiambu,2010-01,1,2
KE022,Kiambu,2010-11,1,5
KE022,Kiambu,2010-12,2,10
KE022,Kiambu,2011-08,1,0
KE022,Kiambu,2012-04,1,0
KE022,Kiambu,2013-02,2,0
KE022,Kiambu,2013-04,1,1
KE022,Kiambu,2013-05,2,1
KE022,Kiambu,2013-09,1,0
KE022,Kiambu,2015-04,1,2
KE022,Kiambu,2016-11,1,1
KE022,Kiambu,2017-02,1,4
KE022,Kiambu,2017-04,1,0
KE022,Kiambu,2017-07,2,3
KE022,Kiambu,2017-08,1,1
KE022,Kiambu,2017-12,1,2
KE022,Kiambu,2018-08,2,3
KE022,Kiambu,2018-09,1,6
KE022,Kiambu,2018-11,1,1
KE022,Kiambu,2019-02,2,4
KE022,Kiambu,2020-07,1,1
KE022,Kiambu,2021-02,1,0
KE022,Kiambu,2021-11,1,0
KE022,Kiambu,2022-09,1,0
KE022,Kiambu,2022-10,1,0
KE022,Kiambu,2022-12,1,0
KE022,Kiambu,2023-02,1,0
KE022,Kiambu,2023-03,1,0
KE022,Kiambu,2023-04,1,0
KE022,Kiambu,2023-05,1,0
KE022,Kiambu,2023-06,1,0
KE022,Kiambu,2023-08,1,0
KE022,Kiambu,2023-09,1,0
KE022,Kiambu,2023-12,2,4
KE022,Kiambu,2024-02,1,0
KE022,Kiambu,2024-03,2,0
KE022,Kiambu,2024-06,4,1
